"﻿"id"","name","value","created","modified"
"1","logo","","2024-11-04 12:19:41",""
"2","logo_alt","baserCMS","2024-11-04 12:19:41",""
"3","logo_link","/","2024-11-04 12:19:41",""
"4","main_image_1","","2024-11-04 12:19:41",""
"5","main_image_alt_1","コーポレートサイトにちょうどいい国産CMS","2024-11-04 12:19:41",""
"6","main_image_link_1","/","2024-11-04 12:19:41",""
"7","main_image_2","","2024-11-04 12:19:41",""
"8","main_image_alt_2","全て日本語の国産CMSだから、設置も更新も簡単、わかりやすい。","2024-11-04 12:19:41",""
"9","main_image_link_2","/","2024-11-04 12:19:41",""
"10","main_image_3","","2024-11-04 12:19:41",""
"11","main_image_alt_3","標準的なWebサイトに必要な基本機能を全て装備","2024-11-04 12:19:41",""
"12","main_image_link_3","/","2024-11-04 12:19:41",""
"13","main_image_4","","2024-11-04 12:19:41",""
"14","main_image_alt_4","デザインも自由自在にカスタマイズ可能！","2024-11-04 12:19:41",""
"15","main_image_link_4","/","2024-11-04 12:19:41",""
"16","main_image_5","","2024-11-04 12:19:41",""
"17","main_image_alt_5","質問・ご相談はユーザーズフォーラムへ","2024-11-04 12:19:41",""
"18","main_image_link_5","/","2024-11-04 12:19:41",""
"19","color_main","001800","2024-11-04 12:19:41",""
"20","color_sub","001800","2024-11-04 12:19:41",""
"21","color_link","2B7BB9","2024-11-04 12:19:41",""
"22","color_hover","2B7BB9","2024-11-04 12:19:41",""
